,CV RMSE Mean,CV RMSE Std,Test RMSE,Test MAE,Test R2,Test Adjusted R2,Test MAPE,Test RMSLE
Random Forest,417394.97696227394,119687.31499351845,306735.3098586142,173033.67900043304,0.3979681340943968,0.3436865724143834,0.4509595897181829,0.4763518107514939
Gradient Boosting,400283.9946938457,141335.73410550106,322181.4599332339,186453.9432743123,0.3358089422777073,0.2759228633027464,0.4953458790638966,0.49936146428329864
Linear Regression,407186.2894562498,151048.27246465112,335082.29840179783,203089.02383932413,0.28155271930298553,0.21677468579751713,0.5337894583896556,1.3243086588580848
Decision Tree,493803.4947484251,107018.71556969522,360622.90860104526,197985.81004298295,0.1678558629984469,0.09282647359666751,0.49847965518815274,0.5152702701742315
